metric,tier,filtering,axis,stage,condition_key,baseline_key,value,baseline_value,delta,sign
r_power_noncoercive,instruct,unfiltered,alignment,e2e,unfiltered_e2e_alignment_instruct,baseline_unfiltered_instruct,,,,?
r_power_noncoercive,instruct,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_instruct,baseline_unfiltered_instruct,,,,?
r_power_noncoercive,instruct,unfiltered,alignment,cpt,unfiltered_cpt_alignment_instruct,baseline_unfiltered_instruct,,,,?
r_power_noncoercive,instruct,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_instruct,baseline_unfiltered_instruct,,,,?
r_power_noncoercive,instruct,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_instruct,baseline_unfiltered_instruct,,,,?
r_power_noncoercive,instruct,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_instruct,baseline_unfiltered_instruct,,,,?
r_power_noncoercive,dpo,filtered,alignment,e2e,filtered_e2e_alignment_dpo,baseline_filtered_dpo,0.7031390929950099,0.7493049238478208,-0.046165830852810896,-
r_power_noncoercive,dpo,filtered,alignment,midtrain,filtered_midtrain_alignment_dpo,baseline_filtered_dpo,0.7137855370102703,0.7493049238478208,-0.035519386837550515,-
r_power_noncoercive,dpo,filtered,alignment,cpt,filtered_cpt_alignment_dpo,baseline_filtered_dpo,0.5791648221277642,0.7493049238478208,-0.17014010172005656,-
r_power_noncoercive,dpo,unfiltered,alignment,e2e,unfiltered_e2e_alignment_dpo,baseline_unfiltered_dpo,0.8674912943476086,0.8079850764517779,0.05950621789583077,+
r_power_noncoercive,dpo,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_dpo,baseline_unfiltered_dpo,0.6181183679993991,0.8079850764517779,-0.18986670845237874,-
r_power_noncoercive,dpo,unfiltered,alignment,cpt,unfiltered_cpt_alignment_dpo,baseline_unfiltered_dpo,0.7644116780196656,0.8079850764517779,-0.043573398432112276,-
r_power_noncoercive,dpo,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_dpo,baseline_unfiltered_dpo,0.6759835668597516,0.8079850764517779,-0.13200150959202628,-
r_power_noncoercive,dpo,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_dpo,baseline_unfiltered_dpo,,0.8079850764517779,,?
r_power_noncoercive,dpo,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_dpo,baseline_unfiltered_dpo,0.7475066578970712,0.8079850764517779,-0.0604784185547067,-
r_fitness,instruct,filtered,alignment,e2e,filtered_e2e_alignment_instruct,baseline_filtered_instruct,,,,?
r_fitness,instruct,filtered,alignment,midtrain,filtered_midtrain_alignment_instruct,baseline_filtered_instruct,,,,?
r_fitness,instruct,filtered,alignment,cpt,filtered_cpt_alignment_instruct,baseline_filtered_instruct,,,,?
r_fitness,instruct,unfiltered,alignment,e2e,unfiltered_e2e_alignment_instruct,baseline_unfiltered_instruct,,,,?
r_fitness,instruct,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_instruct,baseline_unfiltered_instruct,,,,?
r_fitness,instruct,unfiltered,alignment,cpt,unfiltered_cpt_alignment_instruct,baseline_unfiltered_instruct,,,,?
r_fitness,instruct,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_instruct,baseline_unfiltered_instruct,,,,?
r_fitness,instruct,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_instruct,baseline_unfiltered_instruct,,,,?
r_fitness,instruct,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_instruct,baseline_unfiltered_instruct,,,,?
r_fitness,dpo,filtered,alignment,e2e,filtered_e2e_alignment_dpo,baseline_filtered_dpo,-0.0993222030091772,0.4186073527265938,-0.5179295557357709,-
r_fitness,dpo,filtered,alignment,midtrain,filtered_midtrain_alignment_dpo,baseline_filtered_dpo,0.2812586200136203,0.4186073527265938,-0.1373487327129735,-
r_fitness,dpo,filtered,alignment,cpt,filtered_cpt_alignment_dpo,baseline_filtered_dpo,0.0232248113269934,0.4186073527265938,-0.3953825413996004,-
r_fitness,dpo,unfiltered,alignment,e2e,unfiltered_e2e_alignment_dpo,baseline_unfiltered_dpo,0.712078694720682,0.0182743245350849,0.693804370185597,+
r_fitness,dpo,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_dpo,baseline_unfiltered_dpo,0.0214816525139413,0.0182743245350849,0.003207327978856398,+
r_fitness,dpo,unfiltered,alignment,cpt,unfiltered_cpt_alignment_dpo,baseline_unfiltered_dpo,-0.0223992083793614,0.0182743245350849,-0.0406735329144463,-
r_fitness,dpo,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_dpo,baseline_unfiltered_dpo,0.5510712053457721,0.0182743245350849,0.5327968808106872,+
r_fitness,dpo,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_dpo,baseline_unfiltered_dpo,,0.0182743245350849,,?
r_fitness,dpo,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_dpo,baseline_unfiltered_dpo,0.2481894323119764,0.0182743245350849,0.2299151077768915,+
lives_log10_dispersion,instruct,filtered,alignment,e2e,filtered_e2e_alignment_instruct,baseline_filtered_instruct,,,,?
